,league,date,home,away,home_goals,away_goals,result,home_odds,draw_odds,away_odds
2116,Liga Profesional,26/08/2017,Defensa y Justicia,Gimnasia L.P.,4.0,4.0,D,1.75,3.39,6.29
2117,Liga Profesional,26/08/2017,Colon Santa FE,Rosario Central,1.0,1.0,D,2.88,3.14,2.8
2118,Liga Profesional,26/08/2017,Talleres Cordoba,Lanus,5.0,2.0,H,2.39,3.1,3.53
2119,Liga Profesional,27/08/2017,Independiente,Huracan,3.0,1.0,H,1.67,3.67,6.51
2120,Liga Profesional,27/08/2017,San Martin S.J.,Patronato,2.0,0.0,H,2.09,3.3,4.11
2121,Liga Profesional,27/08/2017,Atl. Tucuman,Godoy Cruz,2.0,1.0,H,2.26,3.34,3.54
2122,Liga Profesional,27/08/2017,San Lorenzo,Racing Club,1.0,1.0,D,2.32,3.42,3.31
2123,Liga Profesional,27/08/2017,Boca Juniors,Olimpo Bahia Blanca,3.0,0.0,H,1.37,5.03,10.47
2124,Liga Profesional,28/08/2017,Temperley,River Plate,0.0,1.0,A,7.1,4.07,1.56
2125,Liga Profesional,28/08/2017,Newells Old Boys,Union de Santa Fe,1.0,1.0,D,2.3,3.14,3.69
2126,Liga Profesional,29/08/2017,Estudiantes L.P.,Arsenal Sarandi,2.0,1.0,H,1.51,4.16,8.14
2127,Liga Profesional,08/09/2017,Arsenal Sarandi,Colon Santa FE,0.0,1.0,A,2.66,3.12,3.04
2128,Liga Profesional,08/09/2017,Velez Sarsfield,Atl. Tucuman,2.0,0.0,H,1.83,3.65,4.92
2129,Liga Profesional,09/09/2017,Olimpo Bahia Blanca,Independiente,1.0,1.0,D,3.23,3.21,2.48
2130,Liga Profesional,09/09/2017,Belgrano,San Martin S.J.,1.0,0.0,H,2.02,3.28,4.43
2131,Liga Profesional,09/09/2017,Estudiantes L.P.,Defensa y Justicia,0.0,1.0,A,2.28,3.15,3.71
2132,Liga Profesional,09/09/2017,Patronato,Argentinos Jrs,2.0,1.0,H,2.64,2.99,3.21
2133,Liga Profesional,10/09/2017,Racing Club,Temperley,4.0,1.0,H,1.52,4.43,7.06
2134,Liga Profesional,10/09/2017,Chacarita Juniors,Tigre,1.0,1.0,D,2.52,3.23,3.14
2135,Liga Profesional,10/09/2017,Godoy Cruz,Talleres Cordoba,2.0,1.0,H,2.9,3.34,2.63
2136,Liga Profesional,10/09/2017,Rosario Central,San Lorenzo,0.0,0.0,D,1.82,3.52,5.23
2137,Liga Profesional,10/09/2017,River Plate,Banfield,3.0,1.0,H,1.93,3.61,4.33
